Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
86,-2.977099,1.580153,6.030534,-0.233888,-0.976078,-0.003174
87,-3.114504,0.870229,5.167939,-0.237306,-0.974857,-0.009766
88,-3.267176,1.236641,3.412214,-0.244142,-0.969242,-0.006592
89,-2.916031,1.053435,1.702290,-0.243409,-0.969974,-0.005127
90,-2.778626,1.167939,0.480916,-0.252198,-0.969242,-0.018066
91,-2.763359,2.106870,2.343511,-0.270021,-0.958988,-0.019043
92,-2.679389,2.549618,1.351145,-0.267335,-0.964847,-0.026367
93,-2.511450,2.496183,-0.030534,-0.261476,-0.963383,-0.022461
94,-2.175573,2.519084,-1.557252,-0.255128,-0.961185,-0.018066
95,-1.938931,2.496183,-2.473282,-0.264649,-0.966068,-0.017334
96,-1.595420,3.129771,-2.427481,-0.271730,-0.965336,-0.032471
97,-0.854962,4.442748,-3.328244,-0.274903,-0.965091,-0.036377
98,-0.099237,5.053435,-3.984733,-0.260011,-0.967289,-0.027832
99,0.534351,5.679389,-4.114504,-0.262452,-0.971195,-0.025635
100,0.946565,5.984733,-4.404580,-0.251466,-0.975345,-0.037598
101,0.824427,6.038168,-3.229008,-0.232667,-0.977543,-0.029297
102,0.267176,5.534351,-0.916030,-0.218507,-0.976810,-0.023193
103,-1.725191,2.923664,8.977099,-0.206300,-0.958500,-0.009766
104,-1.396947,2.374046,10.022900,-0.217774,-0.963871,-0.026611
105,-1.541985,1.290076,9.656488,-0.215577,-0.974613,-0.020752
106,-1.396947,0.587786,7.916030,-0.224854,-0.975834,-0.017578
107,-0.656489,0.114504,5.244275,-0.248292,-0.969974,-0.012695
108,-0.099237,0.244275,3.419847,-0.262940,-0.963383,-0.018066
109,-0.229008,1.656489,3.931298,-0.279786,-0.969242,-0.020752
110,-0.580153,2.198473,5.832061,-0.263185,-0.967777,-0.023438
111,-1.183206,2.458015,7.633588,-0.262696,-0.967289,-0.021484
112,-1.854962,2.961832,8.251908,-0.266358,-0.970463,-0.011719
113,-2.152672,3.282443,8.083969,-0.263917,-0.967289,-0.016602
114,-2.106870,3.351145,8.358779,-0.254151,-0.972904,-0.023926
115,-3.366412,3.366412,9.000000,-0.254884,-0.957523,-0.023926
116,-2.786260,3.748091,7.648855,-0.256104,-0.959476,-0.007080
117,-2.106870,3.877862,6.625954,-0.248536,-0.955082,-0.011475
118,-0.969466,3.847328,5.549618,-0.233155,-0.954838,-0.010742
119,-0.312977,3.519084,4.206106,-0.235108,-0.962162,-0.011231
120,-0.053435,3.305344,2.251908,-0.239747,-0.973636,-0.005127
121,0.297710,2.679389,-5.129771,-0.236085,-0.978519,-0.005127
122,-0.320611,2.183206,-4.709924,-0.235108,-0.977543,0.007324
123,-1.068702,1.625954,-2.961832,-0.231446,-0.967045,0.006104
124,-1.656489,1.251908,-1.290076,-0.235597,-0.964115,-0.006592
125,-1.755725,1.312977,-0.541985,-0.237794,-0.969242,0.001953
126,-1.824427,1.580153,-0.267176,-0.244630,-0.967533,-0.010254
127,-1.328244,1.473282,0.503817,-0.227784,-0.957767,-0.006104
128,-1.145038,1.351145,0.877863,-0.241700,-0.964115,-0.017822
129,-0.839695,1.396947,0.862595,-0.240724,-0.971927,-0.006348
130,-0.480916,1.671756,0.656489,-0.245118,-0.966068,-0.005859
131,-0.725191,1.259542,0.893130,-0.244386,-0.961918,-0.005615
132,-1.404580,1.328244,1.908397,-0.233399,-0.960697,0.005127
133,-3.038168,0.259542,3.328244,-0.238770,-0.966801,-0.002930
134,-3.061069,0.206107,2.748092,-0.243409,-0.965824,-0.007568
135,-3.145038,0.358779,1.961832,-0.239503,-0.949711,-0.009766
136,-2.480916,0.343511,3.366412,-0.239991,-0.968509,-0.011231
137,-3.083969,0.687023,3.511450,-0.265626,-0.955082,-0.019775
138,-2.320611,0.824427,3.954198,-0.265626,-0.951664,-0.022217
139,-1.625954,2.190840,1.893130,-0.259767,-0.955814,-0.016602
140,-1.267176,2.572519,2.259542,-0.251222,-0.966556,-0.020752
141,-1.694656,1.984733,3.709924,-0.238770,-0.956791,-0.027344
142,-2.404580,1.618321,4.320610,-0.240968,-0.951420,-0.019531
143,-2.801527,1.404580,4.274809,-0.232911,-0.959720,-0.005615
144,-2.366412,1.152672,4.274809,-0.239259,-0.956547,-0.015869
145,-1.519084,0.152672,1.778626,-0.237061,-0.960941,-0.011231
146,-1.503817,-0.236641,1.511450,-0.237306,-0.953617,-0.018311
147,-1.297710,-0.564886,1.938931,-0.245851,-0.953617,-0.004883
148,-1.183206,-0.625954,2.816794,-0.251710,-0.948246,-0.008545
149,-0.679389,-0.809160,2.305344,-0.254640,-0.956302,-0.021973
150,-0.427481,-0.671756,0.847328,-0.263917,-0.955814,-0.019775
151,0.992366,1.961832,-5.931298,-0.270021,-0.954593,-0.024414
152,1.053435,2.396947,-6.221374,-0.279298,-0.949711,-0.039795
153,1.274809,3.091603,-5.458015,-0.277101,-0.951664,-0.027100
154,1.061069,3.648855,-4.312977,-0.265626,-0.940677,-0.022705
155,0.389313,3.694656,-2.366412,-0.256104,-0.953373,-0.034668
156,-0.106870,4.076336,-0.625954,-0.244630,-0.950443,-0.020508
157,-1.748092,4.389313,6.664122,-0.238526,-0.949222,-0.020752
158,-1.908397,4.473282,7.297710,-0.246095,-0.950931,-0.019287
159,-1.832061,4.320610,7.465649,-0.253419,-0.953861,-0.017822
160,-1.488550,3.946565,7.022900,-0.263917,-0.952396,-0.021240
161,-1.007634,3.671756,5.427480,-0.265870,-0.951175,-0.017334
162,-0.648855,4.229008,4.641222,-0.258302,-0.955082,-0.010742
163,0.068702,3.229008,4.732824,-0.253419,-0.966068,-0.010254
164,-0.564886,2.969466,4.725191,-0.249513,-0.963138,-0.012695
165,-0.740458,3.007634,4.893130,-0.279298,-0.964115,-0.021240
166,-0.740458,3.290076,5.587786,-0.280030,-0.974369,-0.014160
167,-1.259542,3.503817,5.839694,-0.276124,-0.969242,-0.027588
168,-1.877863,3.587786,6.145038,-0.260743,-0.969486,-0.016113
169,-2.427481,4.572519,2.770992,-0.258790,-0.961429,-0.008789
170,-2.572519,4.664122,2.038168,-0.255372,-0.958988,-0.003906
171,-2.595420,4.625954,1.396947,-0.250001,-0.950443,-0.014160
172,-2.595420,4.396946,1.687023,-0.249513,-0.953861,-0.013184
173,-2.534351,3.931298,2.297710,-0.238282,-0.956547,-0.016357
174,-2.091603,3.358779,2.175573,-0.222413,-0.949955,-0.018066
175,-0.458015,1.564885,-0.664122,-0.241212,-0.948246,-0.015381
176,0.259542,1.183206,-2.000000,-0.251222,-0.953617,-0.012207
177,0.717557,1.076336,-2.969466,-0.261720,-0.952396,-0.013428
178,1.282443,1.083969,-3.908397,-0.262208,-0.956791,-0.014893
179,1.702290,1.145038,-4.954198,-0.260987,-0.962406,-0.017334
180,1.946565,1.045802,-4.595420,-0.265870,-0.966556,-0.012940
181,-0.809160,2.206107,0.595420,-0.321290,-0.955082,-0.014404
182,1.465649,3.633588,1.786260,-0.293214,-0.959232,-0.046387
183,0.183206,4.015267,1.099237,-0.277345,-0.962650,-0.039063
184,-1.083969,3.671756,1.358779,-0.270265,-0.959720,-0.039063
185,-1.419847,4.030534,2.656489,-0.265626,-0.929447,-0.040527
186,-1.068702,4.809160,4.557252,-0.265626,-0.918216,-0.018066
187,-0.099237,3.984733,11.839695,-0.236817,-0.948978,-0.011231
188,-1.045802,2.938931,16.793893,-0.241212,-0.945316,-0.012940
189,-1.076336,2.297710,19.374047,-0.248292,-0.962894,-0.017334
190,-0.832061,1.465649,17.702289,-0.261476,-0.970951,-0.016113
191,-0.786260,1.541985,12.580152,-0.269288,-0.987064,-0.004150
192,0.564886,1.923664,-0.717557,-0.276612,-0.981937,0.001709
193,0.137405,2.267176,1.305343,-0.272218,-0.972660,-0.013428
194,-0.709924,2.091603,4.618320,-0.268800,-0.970463,-0.005859
195,-1.732824,2.320611,7.229007,-0.255128,-0.966312,-0.010986
196,-2.847328,2.824427,9.374045,-0.259522,-0.963871,-0.003418
197,-2.961832,3.167939,13.122137,-0.271974,-0.955814,-0.001953
198,-3.740458,3.740458,20.549618,-0.273683,-0.978519,-0.023682
199,-4.229008,3.709924,19.969465,-0.264894,-0.973881,-0.024658
200,-4.198473,3.770992,17.541985,-0.260743,-0.968021,-0.030518
201,-3.343511,3.633588,13.847328,-0.263673,-0.972904,-0.024902
202,-2.702290,3.366412,8.778625,-0.266114,-0.969974,-0.021240
203,-1.496183,3.221374,5.129771,-0.264405,-0.968021,-0.019775
204,-0.885496,1.778626,-0.374046,-0.254151,-0.962650,-0.010742
205,-0.946565,1.221374,-0.099237,-0.271974,-0.972904,-0.005859
206,-1.137404,0.083969,-3.022901,-0.281251,-0.961429,-0.009766
207,-0.587786,0.160305,-6.396946,-0.281251,-0.978031,-0.014893
208,-0.221374,-0.190840,-8.778625,-0.284181,-0.973392,-0.013184
209,0.717557,0.496183,-11.351144,-0.271730,-0.957035,-0.011963
210,0.343511,0.847328,-9.969465,-0.261720,-0.957279,-0.021240
211,0.175573,1.083969,-8.511450,-0.251954,-0.963383,-0.008545
212,-0.801527,1.091603,-7.419847,-0.237306,-0.960941,-0.002686
213,-1.526717,1.183206,-6.076336,-0.235108,-0.966556,-0.005371
214,-2.381679,0.908397,-2.732824,-0.226563,-0.961918,-0.011719
215,-5.541984,-0.809160,12.167939,-0.240479,-0.958256,-0.010986
216,-5.381679,-1.038168,12.335877,-0.243165,-0.964115,-0.006592
217,-4.938932,-1.312977,11.885496,-0.239503,-0.957767,-0.013916
218,-4.625954,-1.877863,13.221375,-0.221925,-0.947025,-0.008057
219,-4.717557,-2.763359,18.526717,-0.219972,-0.920169,0.002197
220,-3.458015,-4.862596,26.465647,-0.242433,-0.970218,-0.005371
221,-2.809160,-5.053435,22.999999,-0.253175,-0.972416,-0.011475
222,-2.236641,-5.595420,18.870230,-0.249757,-0.960209,-0.003906
223,-1.442748,-5.480916,15.312977,-0.246339,-0.952396,-0.009766
224,-0.770992,-6.053435,11.679389,-0.234132,-0.952396,-0.004639
225,-0.557252,-7.641221,9.931297,-0.262452,-0.957523,-0.002441
226,-1.022901,-8.671756,7.610687,-0.263917,-0.940433,-0.010010
