Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
375,-9.557251,3.106870,-1.748092,-0.213380,-0.964359,-0.107422
376,-9.740458,3.526718,0.969466,-0.212159,-0.973881,-0.103760
377,-9.854961,3.503817,3.137405,-0.225587,-0.970463,-0.094971
378,-9.854961,7.534351,4.106870,-0.250489,-0.982914,-0.118653
379,-9.488549,8.603053,3.854962,-0.253907,-0.981205,-0.117676
380,-9.000000,8.900763,4.305344,-0.244874,-0.979008,-0.121582
381,-9.015267,8.916031,5.496183,-0.229981,-0.995853,-0.117188
382,-9.473283,8.763359,7.015267,-0.227784,-1.009769,-0.124512
383,-9.450381,11.083969,2.198473,-0.259278,-0.942142,-0.120850
384,-5.679389,10.679389,-1.717557,-0.219727,-0.942875,-0.119629
385,-5.839694,10.045801,-2.305344,-0.239747,-0.950199,-0.136475
386,-5.641221,9.694656,-3.427481,-0.239259,-0.952152,-0.122071
387,-5.198474,9.778626,-4.480916,-0.237550,-0.958500,-0.125733
388,-4.664122,9.526717,-6.160306,-0.238038,-0.956791,-0.119141
389,-4.656488,9.519083,-8.213740,-0.195802,-0.963383,-0.122803
390,-5.519084,9.038168,-6.885496,-0.201417,-0.951664,-0.129639
391,-5.320611,8.717556,-6.381680,-0.206055,-0.954593,-0.126221
392,-5.015267,8.328244,-6.045802,-0.216065,-0.942142,-0.121827
393,-4.053435,7.954198,-5.580152,-0.222901,-0.949955,-0.121094
394,-3.633588,7.404580,-5.419847,-0.208253,-0.940189,-0.129639
395,-1.992366,6.274809,-4.786260,-0.186524,-0.933109,-0.117188
396,-1.213740,6.312977,-3.633588,-0.194825,-0.931644,-0.126954
397,-0.053435,5.946565,-4.007634,-0.196046,-0.943851,-0.121338
398,1.595420,5.618320,-5.679389,-0.199219,-0.963383,-0.133790
399,2.641221,5.473282,-8.320611,-0.204835,-0.963383,-0.123536
400,3.343511,5.282443,-11.015267,-0.202882,-0.958988,-0.131348
401,3.167939,4.335878,-7.770992,-0.209718,-0.986576,-0.120606
402,2.198473,3.916030,-7.091603,-0.219972,-1.012943,-0.114258
403,1.404580,4.419847,-7.763359,-0.216065,-1.017094,-0.111573
404,0.297710,5.129771,-7.450381,-0.202882,-1.026371,-0.114991
405,-0.709924,5.381679,-6.030534,-0.199952,-1.009037,-0.120606
406,-1.877863,5.893130,-3.534351,-0.198731,-1.007816,-0.114502
407,-4.404580,6.534351,7.167939,-0.187745,-0.956791,-0.117432
408,-4.000000,6.045802,7.488549,-0.188233,-0.948246,-0.117676
409,-3.435114,5.778626,7.595420,-0.189942,-0.943363,-0.124512
410,-2.541985,5.297710,6.885496,-0.188477,-0.937015,-0.132813
411,-1.603053,4.763359,6.450382,-0.196290,-0.935306,-0.114747
412,-0.633588,4.442748,4.984733,-0.200196,-0.941410,-0.134034
413,2.442748,5.770992,-3.007634,-0.243653,-0.955570,-0.128418
414,3.358779,6.358778,-5.862595,-0.250245,-0.972416,-0.123536
415,3.725191,6.984732,-8.137404,-0.252686,-0.979252,-0.132325
416,4.053435,7.511450,-10.984733,-0.242433,-0.964359,-0.128907
417,3.664122,8.167939,-12.381680,-0.232667,-0.961429,-0.127442
418,3.198473,8.732825,-12.221374,-0.214845,-0.965580,-0.134766
419,2.335878,8.839695,-5.297710,-0.198243,-0.977054,-0.102784
420,2.534351,8.381679,-5.801526,-0.198487,-0.983890,-0.111329
421,2.870229,8.473282,-6.503817,-0.197999,-0.972904,-0.114014
422,3.175573,8.381679,-6.702290,-0.195557,-0.969730,-0.093262
423,3.061069,7.717557,-5.900763,-0.183594,-0.973148,-0.098145
424,2.610687,6.839695,-4.236641,-0.176026,-0.977787,-0.085450
425,2.396947,5.114504,-2.198473,-0.185792,-0.970218,-0.102051
426,2.778626,5.435114,-2.694656,-0.176758,-0.977543,-0.103516
427,2.709924,5.473282,-2.786260,-0.187989,-0.967533,-0.108643
428,2.374046,5.312977,-2.671756,-0.182862,-0.970951,-0.107911
429,1.687023,5.557252,-2.786260,-0.187745,-0.974613,-0.096680
430,1.290076,6.221374,-2.992366,-0.183839,-0.976078,-0.093018
431,0.053435,7.396946,-2.358779,-0.162354,-0.972172,-0.077393
432,0.015267,7.305343,-1.572519,-0.165528,-0.988529,-0.067871
433,-0.183206,6.694656,-1.190840,-0.166749,-0.995609,-0.059082
434,-0.969466,6.137404,-1.236641,-0.159424,-1.005131,-0.068360
435,-1.847328,5.610687,-1.129771,-0.151124,-1.009769,-0.053711
436,-2.656489,4.694656,-0.580153,-0.146485,-0.999760,-0.051514
437,-5.740458,2.145038,3.137405,-0.185792,-0.991703,-0.058594
438,-6.480916,2.000000,3.022901,-0.187745,-0.991459,-0.075196
439,-6.763358,1.946565,2.870229,-0.175782,-0.984867,-0.076172
440,-6.984732,1.984733,3.290076,-0.163331,-0.981937,-0.085450
441,-7.763359,1.229008,4.954198,-0.155030,-0.971927,-0.093018
442,-8.480916,0.709924,6.633588,-0.159424,-0.960941,-0.088868
443,-6.923664,-1.358779,8.946564,-0.139405,-0.956791,-0.094727
444,-6.885496,-2.633588,9.832061,-0.153077,-0.955326,-0.093262
445,-6.984732,-3.809160,9.877863,-0.163087,-0.955570,-0.093750
446,-6.870229,-4.717557,8.702290,-0.160645,-0.964359,-0.091553
447,-6.580153,-5.519084,6.038168,-0.179200,-0.950443,-0.100586
448,-5.610687,-5.969466,3.007634,-0.189210,-0.952396,-0.104981
449,-2.061069,-7.610687,-5.435114,-0.230958,-0.981449,-0.101807
450,-2.343511,-7.572519,-6.526717,-0.239747,-0.995121,-0.111817
451,-2.778626,-7.000000,-6.824427,-0.230225,-0.990970,-0.106690
452,-3.366412,-6.480916,-6.229008,-0.235841,-0.982426,-0.112061
453,-3.732824,-5.648855,-4.641222,-0.229249,-0.976078,-0.124268
454,-3.755725,-2.916031,-4.694656,-0.240479,-0.961673,-0.144288
455,-3.923664,-2.167939,-4.419847,-0.236573,-0.950931,-0.149170
456,-3.961832,-1.198473,-3.801527,-0.223878,-0.925785,-0.147706
457,-3.572519,-0.557252,-2.404580,-0.233888,-0.911624,-0.146485
458,-2.931298,-0.007634,-1.480916,-0.240724,-0.914554,-0.145753
459,-4.221374,2.000000,4.503816,-0.221192,-0.927494,-0.135987
460,-4.427481,1.916030,7.656488,-0.200440,-0.927982,-0.118653
461,-4.076336,1.793893,9.564885,-0.184083,-0.935306,-0.111329
462,-4.076336,1.114504,10.786259,-0.171632,-0.963871,-0.106690
463,-4.206106,0.137405,11.015267,-0.167969,-0.983402,-0.108887
464,-4.854962,-1.587786,11.603053,-0.170899,-0.992679,-0.091309
465,-8.030534,-5.045801,17.381679,-0.206788,-0.999027,-0.106202
466,-8.328244,-5.251908,17.511449,-0.205079,-1.014652,-0.097412
467,-8.755724,-5.511450,16.053434,-0.200684,-1.018803,-0.112061
468,-8.938931,-6.221374,15.145038,-0.202637,-1.005375,-0.113526
469,-8.740458,-6.725190,13.618320,-0.194337,-0.999271,-0.103760
470,-8.251908,-8.618321,14.519083,-0.192872,-0.973392,-0.128174
471,-8.442748,-9.717557,13.900763,-0.203370,-0.964847,-0.128418
472,-8.015267,-10.587787,11.877863,-0.198487,-0.966068,-0.132569
473,-7.030534,-11.412213,8.557252,-0.206300,-0.959720,-0.138672
474,-6.335878,-11.465648,4.877862,-0.225343,-0.962894,-0.135499
475,-4.572519,-8.984732,0.076336,-0.241212,-0.940189,-0.134766
476,-4.694656,-8.427481,1.145038,-0.238038,-0.933109,-0.147950
477,-4.748092,-7.969466,1.931298,-0.233155,-0.940677,-0.148926
478,-4.259542,-7.511450,2.404580,-0.238282,-0.941654,-0.136475
479,-4.106870,-7.083969,1.679389,-0.244874,-0.944584,-0.145997
480,-3.770992,-6.587786,0.748092,-0.235352,-0.930668,-0.153565
481,-3.068702,-5.473282,4.022901,-0.227540,-0.926761,-0.134522
482,-3.129771,-5.442748,5.106870,-0.233399,-0.931400,-0.140381
483,-2.656489,-5.709924,5.793893,-0.248292,-0.942386,-0.140870
484,-1.916030,-5.106870,4.519084,-0.260987,-0.946781,-0.143311
485,-1.053435,-4.183206,2.389313,-0.258302,-0.954593,-0.131104
486,-0.679389,-4.236641,3.091603,-0.218995,-0.954593,-0.111817
487,-1.793893,-5.427480,4.908397,-0.220704,-0.967533,-0.116700
488,-1.595420,-5.740458,7.045802,-0.221436,-0.955570,-0.108155
489,-1.374046,-6.328244,9.267176,-0.227052,-0.973881,-0.112793
490,-0.694656,-5.702290,8.488549,-0.255372,-0.965824,-0.111573
491,-0.251908,-4.587786,5.213740,-0.265870,-0.961673,-0.122315
492,0.297710,-1.709924,0.458015,-0.238526,-0.959476,-0.112061
493,0.404580,-0.847328,1.511450,-0.239747,-0.948490,-0.123780
494,0.763359,-0.183206,1.717557,-0.242921,-0.954349,-0.122803
495,1.435115,0.557252,1.404580,-0.231934,-0.955570,-0.107666
496,2.106870,0.916030,1.564885,-0.225098,-0.959232,-0.119629
497,2.083969,1.076336,1.106870,-0.222169,-0.964847,-0.109620
498,0.274809,3.053435,2.755725,-0.238770,-0.965091,-0.111329
499,-0.038168,4.198473,3.709924,-0.250733,-0.954593,-0.098633
500,-0.419847,5.541984,5.809160,-0.249269,-0.951664,-0.098145
501,-0.717557,6.274809,7.519084,-0.236085,-0.951664,-0.100098
502,-0.587786,6.786259,8.343511,-0.231446,-0.962894,-0.099121
503,-0.183206,7.206106,7.961832,-0.230958,-0.956058,-0.079346
504,2.549618,7.190839,2.900763,-0.218263,-0.951664,-0.077637
505,3.114504,6.381680,2.916031,-0.212647,-0.952396,-0.064209
506,3.633588,6.129771,2.183206,-0.218507,-0.953129,-0.068360
507,4.282442,5.778626,1.152672,-0.212647,-0.956302,-0.059326
508,5.328244,5.541984,0.152672,-0.217774,-0.970218,-0.072266
509,5.847328,4.793893,-1.496183,-0.224610,-0.974125,-0.064453
510,6.022900,2.832061,-5.496183,-0.184815,-1.000004,-0.053223
511,4.778626,1.687023,-4.320610,-0.176270,-1.017338,-0.057373
512,3.671756,0.213740,-3.160305,-0.173585,-1.019047,-0.039795
513,2.137405,-1.259542,-2.129771,-0.179200,-1.033695,-0.041748
514,0.404580,-2.625954,-1.778626,-0.179688,-1.033207,-0.053955
515,-0.923664,-3.541985,-2.129771,-0.189454,-1.039799,-0.044922
516,-4.221374,-3.244275,0.832061,-0.219483,-0.989750,-0.077881
517,-4.870229,-3.526718,2.297710,-0.204591,-0.965091,-0.092041
518,-5.206107,-3.587786,4.458015,-0.200684,-0.942142,-0.101807
519,-5.328244,-4.183206,5.404580,-0.205323,-0.928959,-0.100830
520,-4.625954,-4.152672,3.923664,-0.225343,-0.922611,-0.103516
521,-3.106870,-4.320610,1.366412,-0.226563,-0.917484,-0.100342
522,0.396947,-1.572519,-3.251908,-0.256593,-0.907718,-0.115723
523,0.824427,0.152672,-2.015267,-0.262208,-0.908451,-0.108643
524,1.290076,1.755725,0.053435,-0.275148,-0.919437,-0.115967
525,1.282443,3.229008,0.664122,-0.268800,-0.940433,-0.109620
526,1.343511,4.847328,0.755725,-0.274903,-0.959232,-0.101319
527,1.412214,5.946565,-0.267176,-0.277345,-0.984623,-0.099854
528,0.061069,8.503817,-1.229008,-0.209473,-0.983646,-0.088623
529,-0.969466,8.274809,1.366412,-0.180665,-0.982670,-0.088379
530,-1.709924,7.610687,4.687023,-0.170167,-0.977543,-0.087891
531,-2.389313,6.106870,6.793893,-0.168702,-0.965824,-0.078125
532,-2.938931,5.282443,8.106870,-0.168702,-0.967777,-0.088623
533,-3.053435,3.786259,8.633588,-0.168702,-0.951664,-0.092286
534,-1.404580,-0.290076,8.419847,-0.194093,-0.931156,-0.108643
535,-0.877863,-0.763359,7.137404,-0.191163,-0.924076,-0.114991
536,0.221374,-1.480916,6.885496,-0.190919,-0.925052,-0.103516
537,0.503817,-1.312977,6.564885,-0.196778,-0.927005,-0.106202
538,0.969466,-1.244275,8.129771,-0.208741,-0.937259,-0.121338
539,1.190840,-1.687023,9.427480,-0.211182,-0.939701,-0.115235
540,1.893130,-3.221374,13.335877,-0.191407,-0.922611,-0.108155
541,2.045802,-3.717557,15.305344,-0.187012,-0.933109,-0.110596
542,1.786260,-4.770992,16.618320,-0.204102,-0.948978,-0.111573
543,1.748092,-5.595420,15.061069,-0.225343,-0.965824,-0.101807
544,1.648855,-6.068702,11.419847,-0.235108,-0.971683,-0.106202
545,1.832061,-6.068702,2.175573,-0.259767,-0.973148,-0.115235
546,1.236641,-5.977099,3.015267,-0.265138,-0.965091,-0.103272
547,0.916030,-5.396946,2.885496,-0.263673,-0.963383,-0.113526
548,1.526717,-4.854962,2.061069,-0.286134,-0.958256,-0.114258
549,1.870229,-3.687023,1.007634,-0.288819,-0.969486,-0.121338
550,1.908397,-2.419847,-0.030534,-0.292726,-0.964359,-0.113038
551,1.114504,1.954198,0.961832,-0.254395,-0.944339,-0.132081
552,0.786260,2.488550,1.992366,-0.241212,-0.954593,-0.111573
553,0.824427,2.931298,1.206107,-0.234376,-0.961429,-0.108887
554,0.580153,2.832061,0.694656,-0.227296,-0.976566,-0.119385
555,-0.366412,2.114504,0.213740,-0.221192,-0.972660,-0.109864
556,-1.114504,1.396947,-0.091603,-0.213380,-0.967777,-0.104737
557,-1.633588,-1.274809,0.694656,-0.254640,-0.973392,-0.102051
558,-0.526718,-0.732824,-0.877863,-0.263185,-0.969486,-0.103516
559,0.320611,-0.519084,-3.259542,-0.269288,-0.968265,-0.100342
560,0.641221,-0.351145,-4.664122,-0.274903,-0.975834,-0.103028
561,1.106870,-0.198473,-4.816794,-0.264161,-0.967289,-0.094971
562,0.763359,-0.870229,-3.366412,-0.275880,-0.985111,-0.104981
563,0.709924,-1.007634,-5.564885,-0.268556,-1.004398,-0.109131
564,0.679389,-1.045802,-7.549618,-0.256837,-1.000980,-0.113282
565,0.488550,-0.526718,-8.297709,-0.246339,-0.981205,-0.105713
566,0.206107,-0.511450,-6.885496,-0.236573,-0.977787,-0.105957
567,-0.450382,-0.137405,-4.862596,-0.250733,-0.972660,-0.127442
568,-1.053435,2.572519,-0.755725,-0.231934,-0.961918,-0.113282
569,-1.038168,2.450382,0.389313,-0.225831,-0.957523,-0.108155
570,-1.328244,2.175573,1.900763,-0.224122,-0.953129,-0.110352
571,-1.358779,1.305343,2.748092,-0.227052,-0.950931,-0.120118
572,-1.351145,0.290076,2.374046,-0.223878,-0.944584,-0.105469
573,-0.450382,-0.091603,1.076336,-0.226563,-0.932132,-0.107422
574,2.000000,-4.389313,0.221374,-0.209718,-0.953617,-0.122315
575,2.442748,-6.297710,-0.458015,-0.197999,-0.954349,-0.131104
576,2.442748,-7.954198,-0.610687,-0.218507,-0.951664,-0.135254
577,3.061069,-9.221374,-2.290076,-0.232179,-0.945072,-0.121094
578,4.015267,-9.687023,-3.442748,-0.229005,-0.940189,-0.143555
579,4.732824,-10.358778,-4.885496,-0.225098,-0.922367,-0.133301
580,7.244274,-7.030534,-5.740458,-0.265870,-0.924320,-0.125000
581,7.786259,-4.625954,-5.358779,-0.274659,-0.935062,-0.119141
582,7.862595,-2.129771,-4.267176,-0.277833,-0.954593,-0.110108
583,7.320610,0.160305,-3.259542,-0.284913,-0.961185,-0.103516
584,6.885496,2.641221,-2.213740,-0.275148,-0.960209,-0.109131
585,6.954198,5.053435,-1.923664,-0.271241,-0.956791,-0.088868
586,7.083969,10.007633,-1.923664,-0.230470,-0.990238,-0.055908
587,5.312977,10.267175,-0.938931,-0.212891,-0.993900,-0.053223
588,4.549618,9.984732,-0.267176,-0.201173,-0.996342,-0.042725
589,3.702290,9.335877,1.053435,-0.184815,-0.989506,-0.034668
590,3.000000,8.534351,2.847328,-0.178956,-1.000004,-0.024170
591,2.496183,7.770992,4.557252,-0.171632,-1.001469,-0.033692
592,-0.458015,5.091603,5.793893,-0.182862,-1.007084,-0.030029
593,-1.106870,4.389313,5.648855,-0.173585,-0.999027,-0.025635
594,-1.648855,3.312977,5.473282,-0.176270,-1.002933,-0.022461
595,-2.015267,2.404580,5.404580,-0.170655,-0.994633,-0.043701
596,-2.526718,1.587786,4.015267,-0.188477,-0.996097,-0.030274
597,-2.641221,0.740458,2.679389,-0.191407,-0.990238,-0.039551
598,-2.740458,-1.740458,1.694656,-0.207276,-0.958744,-0.054932
599,-3.053435,-1.938931,1.190840,-0.220216,-0.958500,-0.073242
600,-2.358779,-1.641221,0.427481,-0.258790,-0.948490,-0.084961
601,-1.816794,-1.381679,-1.625954,-0.268312,-0.952396,-0.081055
602,-1.099237,-0.106870,-3.641221,-0.274171,-0.941410,-0.088379
603,1.442748,2.854962,-6.824427,-0.301515,-0.945072,-0.098633
604,2.572519,3.900763,-10.396947,-0.293458,-0.938968,-0.086182
605,3.458015,5.083969,-13.236641,-0.287110,-0.933109,-0.111573
606,4.244274,5.832061,-14.740458,-0.264161,-0.945316,-0.095948
607,4.526718,6.213740,-14.664122,-0.246339,-0.953129,-0.084961
608,4.610687,6.442748,-12.809160,-0.235597,-0.963138,-0.085205
609,2.541985,6.160306,-7.603053,-0.232667,-0.985599,-0.087891
610,2.007634,6.389313,-6.030534,-0.235108,-1.000736,-0.079102
611,1.320611,6.343512,-4.633588,-0.242921,-0.997074,-0.091797
612,0.435115,6.908396,-3.526718,-0.244630,-0.989994,-0.076905
613,-0.267176,7.335878,-1.549618,-0.239503,-0.980717,-0.086426
614,-0.893130,7.480916,0.236641,-0.242921,-0.982914,-0.090088
615,-3.511450,9.442748,5.404580,-0.234620,-0.966801,-0.095948
616,-3.641221,10.083969,6.351145,-0.230470,-0.966556,-0.097901
617,-3.496183,10.374046,6.961832,-0.229249,-0.960209,-0.093750
618,-3.862595,9.969465,7.931298,-0.228272,-0.964359,-0.095948
619,-3.984733,9.725191,7.839694,-0.229249,-0.960941,-0.105225
620,-4.412214,9.167939,6.099236,-0.229493,-0.957279,-0.097657
621,-4.259542,5.969466,0.396947,-0.216309,-0.965091,-0.104493
622,-3.824427,4.732824,-1.564885,-0.226563,-0.965824,-0.096192
623,-3.290076,4.519084,-3.259542,-0.234376,-0.969242,-0.100098
624,-2.641221,4.496183,-5.106870,-0.234132,-0.967777,-0.101807
625,-1.870229,4.427481,-6.175572,-0.235108,-0.965824,-0.112305
626,-1.374046,4.992366,-7.374045,-0.248292,-0.954349,-0.106446
627,2.656489,9.099236,-9.465648,-0.264649,-0.919437,-0.125245
628,4.083969,10.335878,-9.076336,-0.255860,-0.919681,-0.123047
629,5.526718,11.274808,-8.083969,-0.235597,-0.934085,-0.120362
630,6.061068,12.229008,-6.908396,-0.237306,-0.934574,-0.126954
631,6.671756,12.702291,-5.900763,-0.232667,-0.946293,-0.118164
632,7.458015,12.458016,-3.969466,-0.196046,-0.956791,-0.095459
633,7.358778,11.511450,-5.473282,-0.197511,-0.962162,-0.091797
634,7.633588,10.389313,-6.374046,-0.183106,-0.980717,-0.096680
635,7.725191,9.267176,-6.954198,-0.186036,-0.981693,-0.083985
636,7.541984,7.717557,-7.160305,-0.184083,-0.991215,-0.081055
637,6.740458,6.427481,-7.076336,-0.187501,-0.992924,-0.082032
638,4.931297,5.106870,-5.679389,-0.201905,-0.968998,-0.093506
639,5.167939,5.061069,-5.229008,-0.199952,-0.960941,-0.087159
640,5.442748,5.129771,-5.229008,-0.196290,-0.957279,-0.085694
641,5.648855,5.221374,-4.786260,-0.197999,-0.955814,-0.092530
642,5.984733,5.396946,-4.732824,-0.213868,-0.960209,-0.097412
643,6.381680,5.931298,-4.175573,-0.210206,-0.961429,-0.099121
644,7.404580,7.946565,-5.587786,-0.221192,-0.958011,-0.099610
645,7.442748,9.045801,-5.396946,-0.220216,-0.961918,-0.101319
646,7.328244,9.954199,-4.740458,-0.223390,-0.975345,-0.103028
647,6.664122,10.618320,-4.183206,-0.216065,-0.984379,-0.083741
648,5.923664,11.297709,-3.717557,-0.209718,-0.995121,-0.076660
649,5.076336,11.374045,-2.664122,-0.212403,-1.003666,-0.068115
650,2.068702,12.664123,4.618320,-0.206544,-0.989994,-0.059082
651,1.351145,12.908397,6.366412,-0.208009,-0.984379,-0.067383
652,1.206107,12.893129,6.679389,-0.209962,-0.977054,-0.082276
653,1.442748,13.045801,5.702290,-0.213380,-0.979496,-0.077881
654,2.022901,13.190839,4.206106,-0.207032,-0.971195,-0.078369
655,2.664122,13.519084,3.106870,-0.205323,-0.961673,-0.084961
656,4.351145,13.290076,-2.366412,-0.212159,-0.960697,-0.086914
657,4.625954,13.099236,-5.625954,-0.193360,-0.958011,-0.086914
658,5.435114,12.931297,-6.671756,-0.173096,-0.965824,-0.081543
659,5.213740,12.335877,-5.908397,-0.154297,-0.974125,-0.056641
660,4.641222,11.053435,-4.870229,-0.157715,-0.987064,-0.068115
661,2.007634,9.427480,-5.282443,-0.192872,-1.010746,-0.045410
662,1.358779,9.435115,-4.900764,-0.197755,-1.005131,-0.062256
663,1.236641,9.671755,-3.923664,-0.189210,-0.991703,-0.049805
664,0.885496,9.351144,-2.748092,-0.192384,-0.993656,-0.053711
665,0.946565,9.267176,-1.992366,-0.199219,-0.981205,-0.042481
666,1.419847,9.167939,-1.809160,-0.205811,-0.983890,-0.062500
667,1.923664,9.709923,0.114504,-0.191651,-0.950199,-0.083496
668,1.946565,9.969465,1.366412,-0.185303,-0.936771,-0.085450
669,1.977099,10.190839,1.885496,-0.196290,-0.935306,-0.088135
670,2.099237,10.786259,2.572519,-0.199952,-0.936283,-0.085694
671,2.053435,11.335877,2.648855,-0.202882,-0.939212,-0.093018
672,2.106870,11.755724,2.824427,-0.203126,-0.948490,-0.099610
673,1.312977,11.969465,2.702290,-0.190186,-0.962406,-0.069824
674,1.366412,11.931297,2.832061,-0.192139,-0.960941,-0.073731
675,1.618321,11.885496,2.946565,-0.191407,-0.973148,-0.064453
676,1.572519,11.862596,3.709924,-0.198243,-0.980717,-0.064453
677,1.572519,12.106870,4.221374,-0.210206,-0.991947,-0.061524
678,1.320611,12.114504,3.610687,-0.228761,-1.001224,-0.047852
679,1.435115,13.053435,0.145038,-0.205811,-0.977543,-0.055908
680,1.717557,12.992367,-0.129771,-0.200440,-0.978519,-0.059326
681,1.694656,12.984732,0.580153,-0.192628,-0.981937,-0.069092
682,1.213740,12.366412,1.274809,-0.182618,-0.971439,-0.078858
683,0.931298,11.625954,1.656489,-0.176270,-0.959232,-0.066651
684,0.725191,10.862595,1.450382,-0.178223,-0.958988,-0.070557
685,1.389313,8.946564,-2.198473,-0.179688,-0.969730,-0.075928
686,1.809160,8.458015,-2.969466,-0.190430,-0.970951,-0.069580
687,1.511450,7.702290,-3.580153,-0.175538,-0.982181,-0.066162
688,1.335878,6.870229,-3.305344,-0.182862,-0.987552,-0.076905
689,0.152672,6.458016,-3.374046,-0.189698,-0.987552,-0.059571
690,-0.893130,6.618320,-2.702290,-0.200684,-0.986088,-0.065186
691,-3.519084,9.122137,10.000000,-0.212159,-0.961673,-0.069824
692,-4.045801,10.038168,12.335877,-0.214356,-0.958988,-0.076905
693,-3.984733,10.801527,15.045800,-0.226563,-0.950199,-0.083008
694,-3.404580,11.282443,18.366413,-0.237061,-0.941410,-0.087647
695,-3.358779,12.122137,21.809159,-0.224854,-0.941410,-0.092286
696,-2.503817,15.114503,15.572519,-0.195069,-0.951908,-0.094727
697,-1.435115,14.717557,12.328244,-0.192628,-0.958011,-0.091797
698,-0.068702,15.740458,8.206107,-0.190919,-0.946293,-0.095215
699,1.473282,15.435114,6.160306,-0.190675,-0.942142,-0.084961
700,2.641221,15.007633,5.992366,-0.186280,-0.944339,-0.090821
701,4.954198,10.931297,-0.015267,-0.206300,-0.986332,-0.073242
702,6.137404,10.175572,-4.503816,-0.213868,-0.995609,-0.078369
703,6.717557,9.526717,-7.557252,-0.206300,-0.994633,-0.067627
704,6.709924,8.809160,-8.549618,-0.197755,-0.989017,-0.057617
705,6.312977,7.900763,-8.045801,-0.197511,-0.992679,-0.053223
706,5.190840,6.961832,-6.450382,-0.194581,-0.990970,-0.046875
707,2.885496,6.427481,-5.572519,-0.232667,-0.986332,-0.072266
708,2.923664,7.198474,-7.068702,-0.240479,-0.975101,-0.072022
709,3.511450,7.152672,-7.435114,-0.217774,-0.969486,-0.065674
710,3.244275,6.198473,-7.091603,-0.181885,-0.958011,-0.074951
711,2.908397,5.450382,-5.854962,-0.205079,-0.971683,-0.081055
712,2.206107,5.595420,-8.564885,-0.232179,-0.969242,-0.068115
713,1.244275,7.618320,-4.740458,-0.188721,-0.996586,-0.067383
714,-0.656489,7.587786,-2.534351,-0.194581,-0.988773,-0.072998
715,-1.641221,7.946565,-0.183206,-0.211427,-0.992191,-0.065918
716,-1.770992,8.343511,0.320611,-0.228272,-0.991703,-0.072998
717,-1.061069,9.595419,-0.267176,-0.248536,-0.996830,-0.076660
718,-0.656489,10.427481,-1.702290,-0.252198,-0.992435,-0.068848
719,-2.488550,11.297709,2.557252,-0.208009,-0.976322,-0.079590
720,-2.511450,11.671756,3.519084,-0.206788,-0.971439,-0.071045
721,-1.961832,12.099236,3.358779,-0.219972,-0.966556,-0.068848
722,-1.229008,12.190840,2.809160,-0.211427,-0.966068,-0.061768
723,-0.801527,11.778625,2.946565,-0.206300,-0.981205,-0.064453
724,-3.603053,10.076336,2.923664,-0.190919,-0.954349,-0.083008
725,-3.213740,9.824427,1.007634,-0.208985,-0.947025,-0.085694
726,-2.167939,9.824427,-0.740458,-0.222901,-0.947513,-0.082764
727,-1.175572,9.748091,-2.137405,-0.229493,-0.945072,-0.092530
728,-0.633588,10.198473,-3.358779,-0.241700,-0.947025,-0.099854
729,-0.450382,15.297709,-4.305344,-0.259034,-0.980717,-0.094971
730,-1.091603,17.374046,-2.763359,-0.256349,-0.991459,-0.096436
731,-1.625954,18.702289,-0.923664,-0.246339,-1.005863,-0.080567
732,-2.885496,20.267176,0.793893,-0.229249,-1.004398,-0.085938
733,-3.870229,21.274808,2.862595,-0.220216,-1.013187,-0.085205
734,-7.679389,20.862594,8.450381,-0.173340,-0.999027,-0.080811
735,-8.297709,19.740457,9.038168,-0.168946,-0.989506,-0.079102
736,-8.748092,18.351144,9.427480,-0.165528,-0.976566,-0.081299
737,-8.694657,17.030535,8.832060,-0.170899,-0.966556,-0.086914
738,-8.236641,15.801526,7.946565,-0.173340,-0.951175,-0.081299
739,-5.595420,11.938932,3.213740,-0.204346,-0.938968,-0.082276
740,-4.793893,11.251908,1.381679,-0.212159,-0.948978,-0.089112
741,-4.251908,10.809160,-0.832061,-0.223145,-0.952884,-0.077149
742,-3.961832,10.320610,-3.793893,-0.225831,-0.955326,-0.080811
743,-3.526718,10.458015,-5.580152,-0.224610,-0.958256,-0.080078
744,-4.656488,12.167939,-0.870229,-0.238282,-0.962894,-0.086670
745,-4.801526,12.793893,-0.809160,-0.242677,-0.966068,-0.109375
746,-4.992366,13.893129,-1.832061,-0.239503,-0.961673,-0.101075
747,-4.511450,14.870228,-2.404580,-0.233888,-0.941410,-0.097657
748,-3.908397,15.274808,-2.351145,-0.219727,-0.931644,-0.103272
749,0.061069,15.786259,-0.656489,-0.190430,-0.910404,-0.101319
750,1.572519,15.793892,-1.984733,-0.196778,-0.916996,-0.077637
751,3.778626,15.381680,-4.396946,-0.211427,-0.942386,-0.082520
752,4.824428,15.068702,-6.335878,-0.220216,-0.975590,-0.071045
753,5.465648,14.793892,-7.511450,-0.222169,-0.994388,-0.075440
754,3.312977,14.083969,-5.145038,-0.190675,-1.005863,-0.054932
755,2.862595,13.694656,-3.572519,-0.181397,-1.006840,-0.042236
756,2.183206,13.832061,-1.793893,-0.181641,-0.998539,-0.046631
757,1.251908,13.343511,0.534351,-0.185792,-0.999760,-0.039795
